dataset_index,stops,load,len_m,cost_m,energy_net_Wh,energy_gross_Wh,energy_regen_Wh,charge_cnt,charge_time_h,feasible,dataset_index
0,220,300,26630.80562,26614.66853,6134.52816,6483.110626,419.3306857,0,0,True,0
0,168,215,19161.79622,19336.73778,4499.754661,5048.008277,681.3870026,0,0,True,0
0,248,300,21913.27296,21978.73546,5349.350334,5401.919316,52.56898193,0,0,True,0
1,294,300,23120.2538,23208.37391,5605.821611,5739.974746,135.5112815,0,0,True,1
1,265,300,25010.74208,25141.95031,6196.200523,6484.129177,289.8902852,0,0,True,1
1,156,300,16300.24238,16384.55467,3972.521762,4113.929786,142.726221,0,0,True,1
1,179,247,18940.77061,18884.8948,4983.205353,5275.423968,304.1959683,0,0,True,1
1,280,300,25282.641,25327.8105,5957.340393,6148.386442,192.2830366,0,0,True,1
1,256,300,22243.85023,22296.06471,5238.057127,5334.618318,97.20253768,0,0,True,1
1,178,300,21863.83804,22050.14092,5793.476092,6124.607123,339.0880652,0,0,True,1
1,232,300,20200.07911,20275.76308,4860.815957,4981.829581,121.2815061,0,0,True,1
1,253,300,23349.82281,23342.37778,5766.75001,5909.425695,145.9615217,0,0,True,1
1,226,300,20403.36418,20494.89861,5004.597637,5271.057955,276.9261901,0,0,True,1
2,266,300,26144.66053,26276.08326,7089.675385,7403.708053,323.0448833,0,0,True,2
2,216,293,23293.47144,23680.01219,7288.781854,7842.425689,599.8207748,0,0,True,2
2,205,299,25212.10005,25374.1161,6178.288571,6557.176495,400.9346043,0,0,True,2
3,133,198,16113.19988,16227.34872,4319.436509,4517.751228,207.3703521,0,0,True,3
3,251,300,23034.23435,23123.83183,6043.622696,6236.065393,201.2870298,0,0,True,3
3,134,300,17723.16404,17778.63169,4172.695385,4293.230069,120.5346843,0,0,True,3
3,43,220,10727.91579,10840.86453,2700.785688,2928.914539,229.4196228,0,0,True,3
4,71,286,17763.12253,17821.78983,3921.138321,4223.478024,342.3339097,0,0,True,4
4,114,210,12930.95532,12607.41748,3534.42506,4199.735361,1123.014826,0,0,True,4
4,163,270,13425.82678,13065.24041,4218.301322,4858.908968,852.2571896,0,0,True,4
4,80,283,7963.784319,7859.021087,2397.200116,2604.243931,214.6451767,0,0,True,4
4,173,296,14254.98962,14385.4731,3472.478531,3874.161124,441.3380471,0,0,True,4
4,170,295,14944.51435,14176.63203,3767.034575,4573.338673,944.7638548,0,0,True,4
5,194,291,24095.98729,23934.93174,6206.215251,6838.534754,691.109646,0,0,True,5
5,243,300,27990.11384,27575.8874,6837.683037,7392.997772,576.5061638,0,0,True,5
5,197,300,21356.05695,21445.86241,5452.819822,5686.793287,237.4549321,0,0,True,5
5,119,213,22283.39654,22383.84809,6023.054341,6414.761325,396.1925235,0,0,True,5
5,106,161,13603.6443,13294.5984,3633.311624,4081.546586,484.9281245,0,0,True,5
5,130,296,18469.78075,18133.29761,4859.360575,5215.489858,363.0536607,0,0,True,5
5,248,300,28740.96975,28525.39351,7362.359036,7785.72805,431.5417279,0,0,True,5
6,83,167,13530.71191,13230.38465,5238.606707,5904.002548,890.3876667,0,0,True,6
6,161,210,15233.04776,14904.73738,4939.319083,5582.764766,1057.834368,0,0,True,6
7,152,300,10041.88408,10068.33638,2395.237884,2432.262058,37.1363317,0,0,True,7
7,210,300,28184.8826,28126.85502,7312.915763,7793.066251,512.948608,0,0,True,7
7,227,300,31611.52475,30966.18631,8341.36526,9057.994853,763.6295929,0,0,True,7
7,129,300,34327.15707,34613.15622,9229.27915,9722.67988,502.5342784,0,0,True,7
7,278,300,23408.65397,23469.28717,5534.663523,5676.163764,142.7050076,0,0,True,7
7,169,300,21142.02379,20956.17519,4988.106289,5367.551358,385.9563367,0,0,True,7
7,212,300,26733.57166,26933.62985,7309.819933,7954.118734,725.353934,0,0,True,7
7,242,300,21541.63418,21591.35078,5713.44391,6055.630931,351.7686134,0,0,True,7
7,172,300,21874.09772,22007.52895,5538.245138,5859.350285,326.4254814,0,0,True,7
7,235,300,40171.04903,40403.16634,10131.97012,10916.71782,838.3636389,0,0,True,7
7,180,300,45338.27078,45291.62897,11328.70535,11779.70041,454.0053348,0,0,True,7
7,212,300,23901.71628,23758.63138,6349.746948,6712.24859,370.3460405,0,0,True,7
7,168,300,38792.3424,39038.29661,9423.185296,10149.14469,740.4698505,0,0,True,7
7,138,300,23074.5021,23151.9855,5570.707432,5787.525968,221.7414818,0,0,True,7
7,140,300,17879.15761,17943.43024,4246.188367,4396.850483,150.7155502,0,0,True,7
7,84,117,30391.27983,30379.20817,7358.443535,8063.136472,747.3681144,0,0,True,7
7,190,300,19440.30057,19439.89791,4673.661278,4872.783516,199.6322049,0,0,True,7
7,234,300,28447.15694,27960.43606,7221.10721,7625.90257,411.1456985,0,0,True,7
7,202,300,17249.63038,17293.45509,4166.121613,4259.307881,93.63570626,0,0,True,7
7,221,300,26301.17169,26343.93666,6310.485051,6491.20088,181.451006,0,0,True,7
7,171,300,33271.15629,33544.60046,8651.150993,9182.938863,546.4697597,0,0,True,7
8,204,220,18004.96547,18012.87965,6117.941237,6714.750474,925.940023,0,0,True,8
8,252,300,22269.28988,20872.88922,8943.583716,9879.678685,1519.357667,0,0,True,8
8,153,300,15872.45775,16179.33078,5089.786766,5987.21417,1149.73554,0,0,True,8
8,260,279,20355.97057,19905.9705,7298.939896,8376.384682,1835.455766,0,0,True,8
8,252,269,21488.32959,20876.33543,7807.674486,8979.02037,2228.934032,0,0,True,8
8,145,259,16411.1375,16761.70434,5278.180577,6123.563894,1218.133017,0,0,True,8
8,4,299,3563.157426,3124.577774,777.0580456,1013.809948,255.6791161,0,0,True,8
9,160,300,16768.60068,16205.14278,5144.95615,5667.213008,808.6054455,0,0,True,9
9,221,300,20039.73355,20274.694,5805.599066,6132.134323,359.6807407,0,0,True,9
9,108,300,18943.90578,19135.81417,5228.04707,5668.627236,461.0417006,0,0,True,9
9,173,300,20011.31533,20027.89514,5553.624445,6062.534651,702.9480746,0,0,True,9
9,18,77,6768.95648,6978.153537,2699.283449,2838.458265,158.7990541,0,0,True,9
9,53,288,13366.78709,13540.23806,3869.332231,3999.426461,130.0942293,0,0,True,9
10,196,259,18036.46408,18593.50622,7658.87,8210.26333,815.8641449,0,0,True,10
10,55,237,11139.97519,10441.11419,3770.819759,4329.758921,758.8193913,0,0,True,10
10,164,300,14446.93919,14619.86503,5385.290439,5977.629553,1123.370532,0,0,True,10
10,123,298,9957.203838,10170.93805,4012.495802,4449.148296,566.898024,0,0,True,10
11,173,300,19430.02312,18912.66833,5183.853,5823.752928,705.9218348,0,0,True,11
11,270,276,20912.59819,20967.07601,6170.052097,7052.988334,1064.918736,0,0,True,11
11,112,159,14653.43651,14702.3337,3792.739544,4168.105326,413.7340748,0,0,True,11
11,241,300,19267.14152,19232.29902,5459.448276,5931.386313,585.5159039,0,0,True,11
12,258,300,22353.63548,22553.914,10735.20913,11628.49391,1813.987778,0,0,True,12
12,290,300,20061.26,19888.68978,9163.895437,10083.01346,1889.637988,0,0,True,12
12,124,262,10324.21866,9598.549658,3759.945288,4224.83758,724.2288368,0,0,True,12
12,107,175,18828.41007,16692.75262,5769.396064,6702.165124,1496.630458,0,0,True,12
12,278,300,21530.20236,20158.30597,6633.755957,7666.440627,1711.410203,0,0,True,12
12,260,300,17719.78991,17463.86596,6935.689005,7817.139346,1491.784927,0,0,True,12
12,222,300,19458.19943,18623.48475,8136.131032,8914.208483,1160.981521,0,0,True,12
12,222,300,17085.56658,16151.33338,5701.244972,6517.932699,1537.903005,0,0,True,12
